./nitro cores:1:  cycle:316  throughoutput 5666863
./nitro cores:2:  cycle:320  throughoutput 11517036
./nitro cores:3:  cycle:582  throughoutput 9529525
./nitro cores:4:  cycle:754  throughoutput 9636357
./nitro cores:5:  cycle:933  throughoutput 9789578
./nitro cores:6:  cycle:1093  throughoutput 9917545
./nitro cores:7:  cycle:1279  throughoutput 10018365
./nitro cores:8:  cycle:1423  throughoutput 10102026
./nitro cores:9:  cycle:1569  throughoutput 10349189
./nitro cores:10:  cycle:1729  throughoutput 10381844
./um cores:1:  cycle:407  throughoutput 4410094
./um cores:2:  cycle:536  throughoutput 6925529
./um cores:3:  cycle:588  throughoutput 9219020
./um cores:4:  cycle:602  throughoutput 12185410
./um cores:5:  cycle:628  throughoutput 14463314
./um cores:6:  cycle:651  throughoutput 16638607
./um cores:7:  cycle:705  throughoutput 17800149
./um cores:8:  cycle:793  throughoutput 18088901
./um cores:9:  cycle:891  throughoutput 18107164
./um cores:10:  cycle:991  throughoutput 18105050
./skv2 cores:1:  cycle:857  throughoutput 2095673
./skv2 cores:2:  cycle:926  throughoutput 3897527
./skv2 cores:3:  cycle:976  throughoutput 5557922
./skv2 cores:4:  cycle:1005  throughoutput 7208361
./skv2 cores:5:  cycle:1041  throughoutput 8693210
./skv2 cores:6:  cycle:1082  throughoutput 10041826
./skv2 cores:7:  cycle:1082  throughoutput 11689968
./skv2 cores:8:  cycle:1140  throughoutput 12739056
./skv2 cores:9:  cycle:1225  throughoutput 13396423
./skv2 cores:10:  cycle:1271  throughoutput 14363487
./es cores:1:  cycle:319  throughoutput 5616297
./es cores:2:  cycle:265  throughoutput 14323447
./es cores:3:  cycle:326  throughoutput 16556380
./es cores:4:  cycle:397  throughoutput 18048568
./es cores:5:  cycle:496  throughoutput 18079108
./es cores:6:  cycle:595  throughoutput 18092283
./es cores:7:  cycle:694  throughoutput 18095536
./es cores:8:  cycle:793  throughoutput 18098271
./es cores:9:  cycle:892  throughoutput 18099840
./es cores:10:  cycle:992  throughoutput 18099811
./fr cores:1:  cycle:356  throughoutput 5030861
./fr cores:2:  cycle:290  throughoutput 12996044
./fr cores:3:  cycle:346  throughoutput 15682015
./fr cores:4:  cycle:397  throughoutput 18058341
./fr cores:5:  cycle:496  throughoutput 18077553
./fr cores:6:  cycle:594  throughoutput 18093361
./fr cores:7:  cycle:694  throughoutput 18096588
./fr cores:8:  cycle:793  throughoutput 18099626
./fr cores:9:  cycle:892 throughoutput  18100694
./fr cores:10:  cycle:991  throughoutput 18101884
./cbf cores:1:  cycle:276  throughoutput 6501072
./cbf cores:2:  cycle:348  throughoutput 11089783
./cbf cores:3:  cycle:384  throughoutput 14413054
./cbf cores:4:  cycle:431  throughoutput 16743511
./cbf cores:5:  cycle:495  throughoutput 18099215
./cbf cores:6:  cycle:594  throughoutput 18107357
./cbf cores:7:  cycle:694  throughoutput 18107614
./cbf cores:8:  cycle:793  throughoutput 18108024
./cbf cores:9:  cycle:892  throughoutput 18108120
./cbf cores:10: cycle: 991 throughoutput 18107601
./cm cores:1:  cycle:329  throughoutput 5446299
./cm cores:2:  cycle:500  throughoutput 7348461
./cm cores:3:  cycle:553  throughoutput 9752768
./cm cores:4:  cycle:573  throughoutput 12605235
./cm cores:5:  cycle:588  throughoutput 15279971
./cm cores:6:  cycle:612  throughoutput 17601346
./cm cores:7:  cycle:693  throughoutput 18104784
./cm cores:8:  cycle:793  throughoutput 18107575
./cm cores:9:  cycle:892  throughoutput 18106831
./cm cores:10:  cycle:991  throughoutput 18107437
./cs cores:1:  cycle:318  throughoutput 5638996
./cs cores:2:  cycle:399  throughoutput 9276824
./cs cores:3:  cycle:448  throughoutput 12038429
./cs cores:4:  cycle:456  throughoutput 15969314
./cs cores:5:  cycle:496  throughoutput 18077979
./cs cores:6:  cycle:594  throughoutput 18097199
./cs cores:7:  cycle:694  throughoutput 18097393
./cs cores:8:  cycle:793  throughoutput 18100310
./cs cores:9:  cycle:892  throughoutput 18103573
./cs cores:10:  cycle:991  throughoutput 18104892
