./nitro cores:1:  cycle:350  throughoutput 5130229
./nitro cores:2:  cycle:436  throughoutput 8214820
./nitro cores:3:  cycle:654  throughoutput 8223025
./nitro cores:4:  cycle:873  throughoutput 8224935
./nitro cores:5:  cycle:1091  throughoutput 8226023
./nitro cores:6:  cycle:1309  throughoutput 8225731
./nitro cores:7:  cycle:1657  throughoutput 7670536
./nitro cores:8:  cycle:1746  throughoutput 8226019
./nitro cores:9:  cycle:1964  throughoutput 8226062
./nitro cores:10:  cycle:2182  throughoutput 8225820
./um cores:1:  cycle:429  throughoutput 4179775
./um cores:2:  cycle:553  throughoutput 6739182
./um cores:3:  cycle:656  throughoutput 8203000
./um cores:4:  cycle:873  throughoutput 8222329
./um cores:5:  cycle:1091  throughoutput 8225893
./um cores:6:  cycle:1309  throughoutput 8226090
./um cores:7:  cycle:1527  throughoutput 8225923
./um cores:8:  cycle:1746  throughoutput 8225921
./um cores:9:  cycle:1964  throughoutput 8226025
./um cores:10:  cycle:2182  throughoutput 8225801
./skv2 cores:1:  cycle:869  throughoutput 2064441
./skv2 cores:2:  cycle:959  throughoutput 3745928
./skv2 cores:3:  cycle:1008  throughoutput 5366995
./skv2 cores:4:  cycle:1055  throughoutput 6829518
./skv2 cores:5:  cycle:1256  throughoutput 7173934
./skv2 cores:6:  cycle:1478  throughoutput 7314626
./skv2 cores:7:  cycle:1706  throughoutput 7397883
./skv2 cores:8:  cycle:1921  throughoutput 7506114
./skv2 cores:9:  cycle:2148  throughoutput 7564288
./skv2 cores:10:  cycle:2410  throughoutput 7751657
./es cores:1:  cycle:442  throughoutput 4060271
./es cores:2:  cycle:451  throughoutput 8218642
./es cores:3:  cycle:668  throughoutput 8245990
./es cores:4:  cycle:905  throughoutput 8285923
./es cores:5:  cycle:1124  throughoutput 8289119
./es cores:6:  cycle:1335  throughoutput 8283550
./es cores:7:  cycle:1543  throughoutput 8308988
./es cores:8:  cycle:1795  throughoutput 8409876
./es cores:9:  cycle:2018  throughoutput 8440983
./es cores:10:  cycle:2223  throughoutput 8421740
./fr cores:1:  cycle:421  throughoutput 4265872
./fr cores:2:  cycle:468  throughoutput 8004521
./fr cores:3:  cycle:674  throughoutput 8232098
./fr cores:4:  cycle:904  throughoutput 8304400
./fr cores:5:  cycle:1119  throughoutput 8307603
./fr cores:6:  cycle:1312  throughoutput 8248504
./fr cores:7:  cycle:1528  throughoutput 8224284
./fr cores:8:  cycle:1746  throughoutput 8224616
./fr cores:9:  cycle:1964  throughoutput 8224609
./fr cores:10:  cycle:2183  throughoutput 8224781
./cbf cores:1:  cycle:351  throughoutput 5108066
./cbf cores:2:  cycle:467  throughoutput 7703700
./cbf cores:3:  cycle:654  throughoutput 8224418
./cbf cores:4:  cycle:873  throughoutput 8225749
./cbf cores:5:  cycle:1091  throughoutput 8226022
./cbf cores:6:  cycle:1309  throughoutput 8225875
./cbf cores:7:  cycle:1527  throughoutput 8225915
./cbf cores:8:  cycle:1746  throughoutput 8225951
./cbf cores:9:  cycle:1964  throughoutput 8225983
./cbf cores:10:  cycle:2182  throughoutput 8226013
./cm cores:1:  cycle:418  throughoutput 4293595
./cm cores:2:  cycle:578  throughoutput 6341998
./cm cores:3:  cycle:655  throughoutput 8211893
./cm cores:4:  cycle:873  throughoutput  8223445
./cm cores:5:  cycle:1091  throughoutput 8225467
./cm cores:6:  cycle:1309  throughoutput 8225970
./cm cores:7:  cycle:1527  throughoutput 8225837
./cm cores:8:  cycle:1746  throughoutput 8225816
./cm cores:9:  cycle:1964  throughoutput 8225699
./cm cores:10:  cycle:2182  throughoutput 8225821
./cs cores:1:  cycle:403  throughoutput 4455976
./cs cores:2:  cycle:499  throughoutput 7284311
./cs cores:3:  cycle:655  throughoutput 8215840
./cs cores:4:  cycle: 873  throughoutput 8221248
./cs cores:5:  cycle:1091  throughoutput 8223454
./cs cores:6:  cycle:1310  throughoutput 8223588
./cs cores:7:  cycle:1527  throughoutput 8224523
./cs cores:8:  cycle:1746  throughoutput 8224867
./cs cores:9:  cycle:1964  throughoutput 8225231
./cs cores:10:  cycle:2182  throughoutput 8225340
